,fips,county_name,school,school_date,school_url,work,work_date,work_url,shelter,shelter_date,shelter_url,shelter_enforcement,shelter_enforcement_date,shelter_enforcement_url,event,event_date,event_url,testing,testing_date,testing_url,transport,transport_date,transport_url,work_2,work_2_date,work_2_url,shelter_2,shelter_2_date,shelter_2_url
0,1001,"Autauga County, Alabama",True,03/16/2020,https://www.montgomeryadvertiser.com/story/news/2020/03/15/autauga-county-schools-close-monday-amid-covid-19-alabama-coronavirus-update-crisis/5054787002/,True,03/28/2020,https://www.annistonstar.com/news/coronavirus/state-officials-order-closure-of-non-essential-retail-business/article_3c86462a-7043-11ea-8744-870b491ca8a7.html,True,03/19/2020,https://www.alsde.edu/COVID19%20Updates/Alabama%20State%20Health%20Officer%20Statewide%20Social%20Distancing%20Order%20%20%283.19.20%29.pdf,False,07/23/2020,https://www.montgomeryadvertiser.com/story/news/2020/03/23/coronavirus-covid-19-alabama-updates-cases-new-ivey/2897223001/,True,03/15/2020,https://www.waaytv.com/content/news/Events-cancelled-postponed-in-North-Alabama-due-to-coronavirus--568774401.html,True,05/01/2020,https://www.alabamapublichealth.gov/news/2020/04/28b.html,False,07/23/2020,N/A,False,04/30/2020,https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,True,03/19/2020,https://www.alsde.edu/COVID19%20Updates/Alabama%20State%20Health%20Officer%20Statewide%20Social%20Distancing%20Order%20%20%283.19.20%29.pdf
1,1003,"Baldwin County, Alabama",True,03/18/2020,http://alabamapublichealth.gov/legal/assets/soe-covid19-03-18-20.pdf,True,04/04/2020,https://mynbc15.com/news/coronavirus/qa-what-alabamians-need-to-know-about-the-shelter-in-place-order,True,04/04/2020,https://mynbc15.com/news/coronavirus/qa-what-alabamians-need-to-know-about-the-shelter-in-place-order,True,04/09/2020,"https://www.wkrg.com/health/coronavirus/first-baldwin-co-arrest-made-for-violating-stay-at-home-order/, https://mynbc15.com/news/local/baldwin-county-deputies-enforcing-stay-at-home-order-breaking-up-large-gatherings",True,03/17/2020,http://alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-031720.pdf,True,04/28/2020,https://www.alabamapublichealth.gov/news/2020/04/23b.html,False,07/24/2020,"Based on google maps, town doesn't have significant public transport options.",True,04/30/2020,http://alabamapublichealth.gov/covid19/assets/cov-safer-at-home-flyer.pdf,False,04/30/2020,http://alabamapublichealth.gov/covid19/assets/cov-safer-at-home-flyer.pdf
2,1005,"Barbour County, Alabama",True,03/18/2020,https://www.montgomeryadvertiser.com/story/news/2020/03/13/coronavirus-alabama-schools-closed-after-covid-19-case-montgomery/5046158002/,True,04/04/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,True,04/04/2020,https://www.wtva.com/content/news/Alabama-governor-issues-statewide-shelter-in-place-569361831.html,False,04/04/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,True,03/17/2020,https://www.alabamapublichealth.gov/news/2020/03/17b.html,True,04/09/2020,https://www.wtvm.com/2020/04/08/barbour-county-health-department-providing-drive-thru-testing-covid-/,False,07/24/2020,N/A,False,04/30/2020,https://alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,True,04/04/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf
3,1007,"Bibb County, Alabama",True,03/19/2020,https://www.bibbvoice.com/2020/03/15/statement-from-bibb-schools-superintendent/,True,04/04/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,True,04/03/2020,https://www.wtva.com/content/news/Alabama-governor-issues-statewide-shelter-in-place-569361831.html,True,04/03/2020,https://www.wtva.com/content/news/Alabama-governor-issues-statewide-shelter-in-place-569361831.html,True,03/19/2020,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,True,05/12/2020,http://www.alabamapublichealth.gov/news/2020/05/11d.html,False,07/28/2020,N/A,False,04/30/2020,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-052120.pdf,True,04/04/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf
4,1009,"Blount County, Alabama",True,03/16/2020,https://www.blountcountian.com/articles/blount-county-covid-19-update/,True,03/28/2020,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,True,03/17/2020,https://www.alsde.edu/COVID19%20Updates/Alabama%20State%20Health%20Officer%20Statewide%20Social%20Distancing%20Order%20%20%283.19.20%29.pdf,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,03/17/2020,https://www.alsde.edu/COVID19%20Updates/Alabama%20State%20Health%20Officer%20Statewide%20Social%20Distancing%20Order%20%20%283.19.20%29.pdf,True,04/22/2020,https://www.alabamapublichealth.gov/news/2020/04/21.html,False,07/28/2020,N/A,False,04/30/2020,https://governor.alabama.gov/assets/2020/04/Safer-At-Home-Order-Signed-4.28.20.pdf,True,03/17/2020,https://www.alsde.edu/COVID19%20Updates/Alabama%20State%20Health%20Officer%20Statewide%20Social%20Distancing%20Order%20%20%283.19.20%29.pdf
5,1013,"Butler County, Alabama",True,03/20/2020,https://www.greenvilleadvocate.com/2020/03/13/county-schools-announce-covid-19-procedures/,True,04/03/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,03/19/2020,https://governor.alabama.gov/assets/2020/03/Alabama-State-Health-Officer-Statewide-Social-Distancing-Order-3.19.20.pdf,True,05/15/2020,https://www.alabamapublichealth.gov/news/2020/05/12.html,False,07/28/2020,N/A,False,05/11/2020,https://www.jdsupra.com/legalnews/alabama-reopens-additional-businesses-69566/,True,04/03/2020,https://governor.alabama.gov/assets/2020/04/Final-Statewide-Order-4.3.2020.pdf
6,1015,"Calhoun County, Alabama",True,03/16/2020,https://www.annistonstar.com/news/coronavirus/breaking-calhoun-county-jacksonville-schools-to-close-after-today/article_3544be1a-67b9-11ea-8388-270b0a40c70e.html,True,03/28/2020,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,05/11/2020,https://www.alabamapublichealth.gov/news/2020/05/11l.html,False,07/28/2020,N/A,False,04/30/2020,https://governor.alabama.gov/assets/2020/04/GKI-0040-2020-Health-Order-Update-Info-Sheet.pdf,True,04/03/2020,https://governor.alabama.gov/assets/2020/04/2020_04_03_20-Revised-SOE.pdf
7,1017,"Chambers County, Alabama",True,03/19/2020,https://oanow.com/news/local/chambers-county-schools-to-reopen-in-august/article_0c524d74-85e6-5954-93ae-c0625a388d47.html,True,03/28/2020,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/16/2020,https://www.alabamapublichealth.gov/news/2020/04/10b.html,False,07/28/2020,N/A,False,05/11/2020,https://www.jdsupra.com/legalnews/alabama-reopens-additional-businesses-69566/,True,04/04/2020,https://www.valleytimes-news.com/2020/04/local-leaders-react-to-governors-stay-at-home-order/
8,1019,"Cherokee County, Alabama",True,03/17/2020,https://www.weisradio.com/cherokee-county-school-closings-moved-up-now-starting-tuesday-march-17th/,True,03/28/2020,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,04/04/2020,https://www.wsfa.com/2020/04/03/alabama-issues-stay-home-order/,True,03/19/2020,https://www.weisradio.com/breaking-news-governor-ivey-issues-statewide-public-health-order/,True,04/30/2020,https://www.alabamapublichealth.gov/news/2020/04/24h.html,False,07/28/2020,N/A,False,04/30/2020,https://alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-042820.pdf,True,04/05/2020,https://www.weisradio.com/adph-has-provided-a-list-of-stay-at-home-frequently-asked-questions/
9,1021,"Chilton County, Alabama",True,03/19/2020,https://abc3340.com/news/coronavirus/remainder-of-on-campus-school-year-in-alabama-cancelled-due-to-covid-19-concerns,True,03/28/2020,https://www.alabamanews.net/2020/03/27/alabamas-non-essential-businesses-closed-until-april-17/,True,04/03/2020,https://www.mcguirewoods.com/client-resources/Alerts/2020/7/state-governors-stay-at-home-prohibition-elective-procedures-orders,False,07/29/2020,N/A,True,03/19/2020,https://www.nga.org/coronavirus-state-actions/alabama/,True,04/22/2020,https://www.alabamapublichealth.gov/news/2020/04/17c.html,False,07/29/2020,N/A,False,04/30/2020,https://abc3340.com/news/coronavirus/governor-kay-ivey-announces-plan-to-reopen-alabama-economy,False,04/30/2020,https://www.alabamapublichealth.gov/news/2020/04/28c.html
